x,y,z
-0.7292251986668541,0.6809942757242906,-0.0669134221216949
-0.7266828258596605,0.6837377951336823,-0.06659352901257845
-0.7241272463391808,0.6864748429271103,-0.06627232557738376
-0.7215585280794882,0.6892052753645987,-0.06594982157193684
-0.718976740916482,0.6919289491042112,-0.06562602694553288
-0.7130251262055388,0.6981300992821277,-0.06488092073870348
-0.7103251705264626,0.7009081887587846,-0.06454349732879135
-0.7077639364270939,0.7035236460123268,-0.06422374790330036
-0.7051947767137515,0.7061279562702552,-0.06390333535297354
-0.7024763341344284,0.7088628459569365,-0.06356465686910763
-0.6997489141442264,0.7115855737616201,-0.06322521940113814
-0.6971432527952212,0.7141671482191753,-0.06290126776615117
-0.6945218971525405,0.7167451551973695,-0.06257568918305582
-0.6918931072280778,0.7193114253444842,-0.062249510352789916
-0.6892487509768914,0.721873852896279,-0.06192172301766742
-0.6865805558737398,0.7244402331342569,-0.061591305494282086
-0.683884279789274,0.727014292386866,-0.061257738468952695
-0.6811765503118575,0.7295799375636554,-0.06092308273429783
-0.6784532549227669,0.7321409814646898,-0.06058683144565475
-0.6757228804249007,0.7346894053800537,-0.06025003313342324
-0.6729813348201424,0.7372290372221517,-0.0599121829029654
-0.6702244594024712,0.7397636508644772,-0.059572769604285654
-0.34050547717142354,0.9400140500941778,-0.020726930351639677
-0.3375083302896959,0.9411017619834706,-0.020386284032860996
-0.3345091667441203,0.9421792777877653,-0.020045594814803894
-0.33150809481364457,0.9432465748598249,-0.0197048747328253
-0.32851501548102946,0.9443002021730927,-0.019365246689751727
-0.3255251143542188,0.9453419513888192,-0.01902616275164359
-0.3225433684095507,0.946370185080606,-0.018688185720404142
-0.31228990442834387,0.9498251458328094,-0.01752734822551165
-0.3093188682007695,0.9508029733669682,-0.017191381896967724
-0.30634672812435687,0.9517707577755252,-0.016855468278986912
-0.3033881289463292,0.952723827325085,-0.016521260892780006
-0.29639537803904104,0.9549357479173686,-0.01573204457754515
-0.29345026406172775,0.9558502938509029,-0.015399943741613572
-0.2905093304682691,0.956753505168834,-0.015068485591720292
-0.2875726564297097,0.9576454292303717,-0.014737677840739564
-0.2846259097257306,0.9585304175579689,-0.014405906043915092
-0.2816932146847934,0.9594012727982564,-0.014075885536351971
-0.27876502656853136,0.9602609502605398,-0.01374654018184184
-0.2758462020703344,0.9611081203240951,-0.013418414602965304
-0.27293201981905557,0.961944249369005,-0.013090976410946016
-0.27001302164208135,0.9627720757413559,-0.01276316247619779
-0.2670988427444203,0.9635888919836401,-0.012436054451967911
-0.2641990549480024,0.9643921348245172,-0.012110724717897871
-0.26130419711073805,0.965184544109626,-0.01178610979951109
0.027743959338906343,0.9994178233954772,0.01985666134192209
0.03010391482641606,0.9993444777994512,0.020108928461404652
0.03245436538304085,0.9992658211012824,0.020360082179695572
0.034791948135268945,0.9991820444503803,0.02060976450401848
0.03712345696823367,0.9990929703906972,0.02085870222762944
0.03956958609771763,0.9989935950513511,0.021119775151090144
0.04199857219323119,0.9988889137272754,0.021378914062081464
0.04430081147544192,0.9987841718417217,0.021624434814894667
0.04660028547571838,0.9986741888219397,0.02186956731218931
0.04889033813317166,0.9985593239330838,0.022113602680856725
0.05116770631197326,0.9984398161127709,0.02235619447642673
0.05342918163404504,0.9983159309674073,0.022597002602003657
0.05568138140236608,0.9981873909164409,0.0228367331409893
0.057924327851864826,0.9980542563617723,0.023075389510461213
0.060158043589668087,0.997916587185879,0.02331297515873455
0.062382551586378406,0.9977744427526858,0.023549493564411328
0.06459787516592792,0.9976278819086252,0.02378494823532721
0.0668072286792449,0.9974767411273842,0.02401968164011998
0.06901059652752257,0.9973210596163513,0.024253692762834244
0.07119847062525643,0.9971615791373475,0.02448597298324188
0.07338355916175535,0.9969974323055935,0.02471787249758556
0.0755626703184776,0.9968288858215549,0.024949053010049273
0.07772641596285194,0.9966567344911449,0.025178519714573536
0.07988734727394523,0.9964800376179155,0.025407604659426923
0.08258428026013402,0.9962528223730613,0.0256933954086469
